Epoch 001 | Loss: 27.7495 | Val [MAE: 28.9332 | MSE: 921.7430 | R2: 0.0277 | MedAE: 24.4217] | Best MAE: 28.9332 | LR: 3.40e-04 | Pat: 0/5
Epoch 002 | Loss: 27.3375 | Val [MAE: 28.8461 | MSE: 915.6072 | R2: 0.0344 | MedAE: 24.6847] | Best MAE: 28.8461 | LR: 6.70e-04 | Pat: 0/5
Epoch 003 | Loss: 27.3136 | Val [MAE: 28.6660 | MSE: 907.0817 | R2: 0.0536 | MedAE: 23.8193] | Best MAE: 28.6660 | LR: 1.00e-03 | Pat: 0/5
Epoch 004 | Loss: 26.7883 | Val [MAE: 28.0863 | MSE: 865.2159 | R2: 0.1129 | MedAE: 23.8174] | Best MAE: 28.0863 | LR: 9.98e-04 | Pat: 0/5
Epoch 005 | Loss: 26.2073 | Val [MAE: 27.7548 | MSE: 845.8679 | R2: 0.1185 | MedAE: 23.3730] | Best MAE: 27.7548 | LR: 9.90e-04 | Pat: 0/5
Epoch 006 | Loss: 25.5832 | Val [MAE: 27.1983 | MSE: 814.4885 | R2: 0.1599 | MedAE: 23.0017] | Best MAE: 27.1983 | LR: 9.78e-04 | Pat: 0/5
Epoch 007 | Loss: 24.8723 | Val [MAE: 26.6686 | MSE: 780.7523 | R2: 0.1853 | MedAE: 22.5785] | Best MAE: 26.6686 | LR: 9.62e-04 | Pat: 0/5
Epoch 008 | Loss: 23.9991 | Val [MAE: 26.2610 | MSE: 756.9223 | R2: 0.2053 | MedAE: 22.5367] | Best MAE: 26.2610 | LR: 9.41e-04 | Pat: 0/5
Epoch 009 | Loss: 23.0091 | Val [MAE: 25.1882 | MSE: 700.2526 | R2: 0.2765 | MedAE: 21.2628] | Best MAE: 25.1882 | LR: 9.16e-04 | Pat: 0/5
Epoch 010 | Loss: 22.0274 | Val [MAE: 23.9814 | MSE: 632.1071 | R2: 0.3448 | MedAE: 20.7030] | Best MAE: 23.9814 | LR: 8.87e-04 | Pat: 0/5
Epoch 011 | Loss: 21.0900 | Val [MAE: 23.0240 | MSE: 581.7509 | R2: 0.3974 | MedAE: 19.5820] | Best MAE: 23.0240 | LR: 8.54e-04 | Pat: 0/5
Epoch 012 | Loss: 20.1539 | Val [MAE: 21.8655 | MSE: 528.7131 | R2: 0.4378 | MedAE: 18.0958] | Best MAE: 21.8655 | LR: 8.17e-04 | Pat: 0/5
Epoch 013 | Loss: 19.2257 | Val [MAE: 20.9948 | MSE: 482.0440 | R2: 0.5088 | MedAE: 17.9606] | Best MAE: 20.9948 | LR: 7.78e-04 | Pat: 0/5
Epoch 014 | Loss: 18.3290 | Val [MAE: 19.7296 | MSE: 427.5743 | R2: 0.5435 | MedAE: 16.8506] | Best MAE: 19.7296 | LR: 7.36e-04 | Pat: 0/5
Epoch 015 | Loss: 17.5412 | Val [MAE: 18.7092 | MSE: 383.3264 | R2: 0.6037 | MedAE: 15.9081] | Best MAE: 18.7092 | LR: 6.92e-04 | Pat: 0/5
Epoch 016 | Loss: 16.8706 | Val [MAE: 17.8906 | MSE: 352.4828 | R2: 0.6387 | MedAE: 15.2389] | Best MAE: 17.8906 | LR: 6.45e-04 | Pat: 0/5
Epoch 017 | Loss: 16.3195 | Val [MAE: 17.1232 | MSE: 323.3921 | R2: 0.6623 | MedAE: 14.5351] | Best MAE: 17.1232 | LR: 5.98e-04 | Pat: 0/5
Epoch 018 | Loss: 15.8500 | Val [MAE: 16.4869 | MSE: 296.1640 | R2: 0.6962 | MedAE: 14.1266] | Best MAE: 16.4869 | LR: 5.49e-04 | Pat: 0/5
Epoch 019 | Loss: 15.4565 | Val [MAE: 15.9486 | MSE: 279.8621 | R2: 0.6956 | MedAE: 13.8692] | Best MAE: 15.9486 | LR: 5.01e-04 | Pat: 0/5
Epoch 020 | Loss: 15.1379 | Val [MAE: 15.5441 | MSE: 270.0338 | R2: 0.7175 | MedAE: 13.3219] | Best MAE: 15.5441 | LR: 4.52e-04 | Pat: 0/5
Epoch 021 | Loss: 14.8842 | Val [MAE: 15.2042 | MSE: 252.7344 | R2: 0.7284 | MedAE: 12.7776] | Best MAE: 15.2042 | LR: 4.03e-04 | Pat: 0/5
Epoch 022 | Loss: 14.6862 | Val [MAE: 14.9373 | MSE: 244.6932 | R2: 0.7444 | MedAE: 12.9111] | Best MAE: 14.9373 | LR: 3.56e-04 | Pat: 0/5
Epoch 023 | Loss: 14.5308 | Val [MAE: 14.6999 | MSE: 234.6150 | R2: 0.7612 | MedAE: 12.4314] | Best MAE: 14.6999 | LR: 3.09e-04 | Pat: 0/5
Epoch 024 | Loss: 14.4077 | Val [MAE: 14.5676 | MSE: 233.9294 | R2: 0.7736 | MedAE: 12.5036] | Best MAE: 14.5676 | LR: 2.65e-04 | Pat: 0/5
Epoch 025 | Loss: 14.3099 | Val [MAE: 14.4845 | MSE: 228.4115 | R2: 0.7582 | MedAE: 12.5002] | Best MAE: 14.4845 | LR: 2.23e-04 | Pat: 0/5
Epoch 026 | Loss: 14.2354 | Val [MAE: 14.3825 | MSE: 228.2999 | R2: 0.7668 | MedAE: 12.0459] | Best MAE: 14.3825 | LR: 1.84e-04 | Pat: 0/5
Epoch 027 | Loss: 14.1776 | Val [MAE: 14.2904 | MSE: 225.0690 | R2: 0.7547 | MedAE: 12.1780] | Best MAE: 14.2904 | LR: 1.47e-04 | Pat: 0/5
Epoch 028 | Loss: 14.1320 | Val [MAE: 14.2702 | MSE: 225.8781 | R2: 0.7657 | MedAE: 12.2174] | Best MAE: 14.2702 | LR: 1.14e-04 | Pat: 0/5
Epoch 029 | Loss: 14.0970 | Val [MAE: 14.2949 | MSE: 222.8411 | R2: 0.7537 | MedAE: 11.8921] | Best MAE: 14.2702 | LR: 8.52e-05 | Pat: 1/5
Epoch 030 | Loss: 14.0710 | Val [MAE: 14.3558 | MSE: 228.6071 | R2: 0.7675 | MedAE: 11.9283] | Best MAE: 14.2702 | LR: 6.00e-05 | Pat: 2/5
Epoch 031 | Loss: 14.0504 | Val [MAE: 14.4705 | MSE: 229.5123 | R2: 0.7536 | MedAE: 12.4590] | Best MAE: 14.2702 | LR: 3.90e-05 | Pat: 3/5
Epoch 032 | Loss: 14.0349 | Val [MAE: 14.5658 | MSE: 234.0258 | R2: 0.7688 | MedAE: 12.3983] | Best MAE: 14.2702 | LR: 2.25e-05 | Pat: 4/5
Epoch 033 | Loss: 14.0225 | Val [MAE: 14.6305 | MSE: 238.7984 | R2: 0.7446 | MedAE: 12.2015] | Best MAE: 14.2702 | LR: 1.06e-05 | Pat: 5/5
Early stopping at epoch 33 (patience 5 exceeded). Best MAE: 14.2702 at epoch 28
