Epoch 001 | Loss: 0.6353 | Val [AUROC: 0.5970 | F1: 0.4802 | Precision: 0.4970 | Recall: 0.4699 | ACCURACY: 0.5258] | Best AUROC: 0.5970 | LR: 3.40e-04 | Pat: 0/5
Epoch 002 | Loss: 0.6101 | Val [AUROC: 0.6041 | F1: 0.4836 | Precision: 0.4913 | Recall: 0.4727 | ACCURACY: 0.5338] | Best AUROC: 0.6041 | LR: 6.70e-04 | Pat: 0/5
Epoch 003 | Loss: 0.6097 | Val [AUROC: 0.6132 | F1: 0.4897 | Precision: 0.4955 | Recall: 0.4789 | ACCURACY: 0.5316] | Best AUROC: 0.6132 | LR: 1.00e-03 | Pat: 0/5
Epoch 004 | Loss: 0.5879 | Val [AUROC: 0.6265 | F1: 0.4981 | Precision: 0.5077 | Recall: 0.4897 | ACCURACY: 0.5433] | Best AUROC: 0.6265 | LR: 9.97e-04 | Pat: 0/5
Epoch 005 | Loss: 0.5696 | Val [AUROC: 0.6395 | F1: 0.5180 | Precision: 0.5312 | Recall: 0.5103 | ACCURACY: 0.5575] | Best AUROC: 0.6395 | LR: 9.88e-04 | Pat: 0/5
Epoch 006 | Loss: 0.5477 | Val [AUROC: 0.6614 | F1: 0.5332 | Precision: 0.5423 | Recall: 0.5244 | ACCURACY: 0.5722] | Best AUROC: 0.6614 | LR: 9.74e-04 | Pat: 0/5
Epoch 007 | Loss: 0.5169 | Val [AUROC: 0.6864 | F1: 0.5452 | Precision: 0.5579 | Recall: 0.5397 | ACCURACY: 0.5906] | Best AUROC: 0.6864 | LR: 9.54e-04 | Pat: 0/5
Epoch 008 | Loss: 0.4822 | Val [AUROC: 0.7160 | F1: 0.5737 | Precision: 0.5933 | Recall: 0.5710 | ACCURACY: 0.6146] | Best AUROC: 0.7160 | LR: 9.29e-04 | Pat: 0/5
Epoch 009 | Loss: 0.4472 | Val [AUROC: 0.7490 | F1: 0.5935 | Precision: 0.6103 | Recall: 0.5800 | ACCURACY: 0.6352] | Best AUROC: 0.7490 | LR: 8.98e-04 | Pat: 0/5
Epoch 010 | Loss: 0.4098 | Val [AUROC: 0.7786 | F1: 0.6144 | Precision: 0.6227 | Recall: 0.6108 | ACCURACY: 0.6614] | Best AUROC: 0.7786 | LR: 8.63e-04 | Pat: 0/5
Epoch 011 | Loss: 0.3702 | Val [AUROC: 0.8184 | F1: 0.6490 | Precision: 0.6549 | Recall: 0.6357 | ACCURACY: 0.6810] | Best AUROC: 0.8184 | LR: 8.24e-04 | Pat: 0/5
Epoch 012 | Loss: 0.3314 | Val [AUROC: 0.8490 | F1: 0.6809 | Precision: 0.6962 | Recall: 0.6689 | ACCURACY: 0.7162] | Best AUROC: 0.8490 | LR: 7.81e-04 | Pat: 0/5
Epoch 013 | Loss: 0.2984 | Val [AUROC: 0.8802 | F1: 0.7006 | Precision: 0.7184 | Recall: 0.6881 | ACCURACY: 0.7326] | Best AUROC: 0.8802 | LR: 7.34e-04 | Pat: 0/5
Epoch 014 | Loss: 0.2677 | Val [AUROC: 0.9007 | F1: 0.7190 | Precision: 0.7319 | Recall: 0.7119 | ACCURACY: 0.7529] | Best AUROC: 0.9007 | LR: 6.85e-04 | Pat: 0/5
Epoch 015 | Loss: 0.2420 | Val [AUROC: 0.9205 | F1: 0.7410 | Precision: 0.7486 | Recall: 0.7301 | ACCURACY: 0.7607] | Best AUROC: 0.9205 | LR: 6.34e-04 | Pat: 0/5
