Epoch 001 | Loss: 0.5634 | Val [AP: 0.2366 | AUPRC: 0.2349 | AUROC: 0.5701 | F1: 0.1114 | ACCURACY: 0.0974] | Best AP: 0.2366 | LR: 1.04e-04 | Pat: 0/30
Epoch 002 | Loss: 0.5556 | Val [AP: 0.2415 | AUPRC: 0.2379 | AUROC: 0.5762 | F1: 0.1147 | ACCURACY: 0.0990] | Best AP: 0.2415 | LR: 2.03e-04 | Pat: 0/30
Epoch 003 | Loss: 0.5442 | Val [AP: 0.2450 | AUPRC: 0.2434 | AUROC: 0.5804 | F1: 0.1242 | ACCURACY: 0.0952] | Best AP: 0.2450 | LR: 3.02e-04 | Pat: 0/30
Epoch 004 | Loss: 0.5537 | Val [AP: 0.2435 | AUPRC: 0.2397 | AUROC: 0.5771 | F1: 0.1209 | ACCURACY: 0.0985] | Best AP: 0.2450 | LR: 4.01e-04 | Pat: 1/30
Epoch 005 | Loss: 0.5501 | Val [AP: 0.2448 | AUPRC: 0.2419 | AUROC: 0.5758 | F1: 0.1161 | ACCURACY: 0.0985] | Best AP: 0.2450 | LR: 5.00e-04 | Pat: 2/30
Epoch 006 | Loss: 0.5499 | Val [AP: 0.2474 | AUPRC: 0.2425 | AUROC: 0.5878 | F1: 0.1179 | ACCURACY: 0.1012] | Best AP: 0.2474 | LR: 5.00e-04 | Pat: 0/30
Epoch 007 | Loss: 0.5503 | Val [AP: 0.2512 | AUPRC: 0.2470 | AUROC: 0.5845 | F1: 0.1205 | ACCURACY: 0.0997] | Best AP: 0.2512 | LR: 5.00e-04 | Pat: 0/30
Epoch 008 | Loss: 0.5496 | Val [AP: 0.2471 | AUPRC: 0.2435 | AUROC: 0.5819 | F1: 0.1229 | ACCURACY: 0.1004] | Best AP: 0.2512 | LR: 5.00e-04 | Pat: 1/30
Epoch 009 | Loss: 0.5464 | Val [AP: 0.2603 | AUPRC: 0.2575 | AUROC: 0.5863 | F1: 0.1274 | ACCURACY: 0.1057] | Best AP: 0.2603 | LR: 4.99e-04 | Pat: 0/30
Epoch 010 | Loss: 0.5425 | Val [AP: 0.2552 | AUPRC: 0.2514 | AUROC: 0.5840 | F1: 0.1169 | ACCURACY: 0.1016] | Best AP: 0.2603 | LR: 4.99e-04 | Pat: 1/30
Epoch 011 | Loss: 0.5397 | Val [AP: 0.2496 | AUPRC: 0.2480 | AUROC: 0.5840 | F1: 0.1185 | ACCURACY: 0.1036] | Best AP: 0.2603 | LR: 4.99e-04 | Pat: 2/30
Epoch 012 | Loss: 0.5334 | Val [AP: 0.2528 | AUPRC: 0.2497 | AUROC: 0.5839 | F1: 0.1180 | ACCURACY: 0.0989] | Best AP: 0.2603 | LR: 4.98e-04 | Pat: 3/30
Epoch 013 | Loss: 0.5323 | Val [AP: 0.2534 | AUPRC: 0.2488 | AUROC: 0.5876 | F1: 0.1212 | ACCURACY: 0.1002] | Best AP: 0.2603 | LR: 4.98e-04 | Pat: 4/30
Epoch 014 | Loss: 0.5293 | Val [AP: 0.2604 | AUPRC: 0.2572 | AUROC: 0.5941 | F1: 0.1221 | ACCURACY: 0.1092] | Best AP: 0.2604 | LR: 4.97e-04 | Pat: 0/30
Epoch 015 | Loss: 0.5253 | Val [AP: 0.2593 | AUPRC: 0.2567 | AUROC: 0.5849 | F1: 0.1324 | ACCURACY: 0.1042] | Best AP: 0.2604 | LR: 4.97e-04 | Pat: 1/30
Epoch 016 | Loss: 0.5234 | Val [AP: 0.2727 | AUPRC: 0.2694 | AUROC: 0.5932 | F1: 0.1369 | ACCURACY: 0.1094] | Best AP: 0.2727 | LR: 4.96e-04 | Pat: 0/30
Epoch 017 | Loss: 0.5208 | Val [AP: 0.2631 | AUPRC: 0.2591 | AUROC: 0.5942 | F1: 0.1405 | ACCURACY: 0.1037] | Best AP: 0.2727 | LR: 4.95e-04 | Pat: 1/30
Epoch 018 | Loss: 0.5192 | Val [AP: 0.2674 | AUPRC: 0.2663 | AUROC: 0.5937 | F1: 0.1341 | ACCURACY: 0.1072] | Best AP: 0.2727 | LR: 4.95e-04 | Pat: 2/30
Epoch 019 | Loss: 0.5169 | Val [AP: 0.2778 | AUPRC: 0.2753 | AUROC: 0.6026 | F1: 0.1422 | ACCURACY: 0.1146] | Best AP: 0.2778 | LR: 4.94e-04 | Pat: 0/30
Epoch 020 | Loss: 0.5163 | Val [AP: 0.2732 | AUPRC: 0.2697 | AUROC: 0.6016 | F1: 0.1238 | ACCURACY: 0.1056] | Best AP: 0.2778 | LR: 4.93e-04 | Pat: 1/30
Epoch 021 | Loss: 0.5106 | Val [AP: 0.2765 | AUPRC: 0.2720 | AUROC: 0.6036 | F1: 0.1343 | ACCURACY: 0.1105] | Best AP: 0.2778 | LR: 4.92e-04 | Pat: 2/30
