Epoch 001 | Loss: 0.3596 | Val [MAE: 0.3936 | MSE: 0.1567 | R2: 0.0363 | MedAE: 0.3797] | Best MAE: 0.3936 | LR: 1.04e-04 | Pat: 0/30
Epoch 002 | Loss: 0.3542 | Val [MAE: 0.3929 | MSE: 0.1541 | R2: 0.0370 | MedAE: 0.3845] | Best MAE: 0.3929 | LR: 2.03e-04 | Pat: 0/30
Epoch 003 | Loss: 0.3548 | Val [MAE: 0.3926 | MSE: 0.1536 | R2: 0.0374 | MedAE: 0.3780] | Best MAE: 0.3926 | LR: 3.02e-04 | Pat: 0/30
Epoch 004 | Loss: 0.3564 | Val [MAE: 0.3915 | MSE: 0.1506 | R2: 0.0355 | MedAE: 0.3823] | Best MAE: 0.3915 | LR: 4.01e-04 | Pat: 0/30
Epoch 005 | Loss: 0.3541 | Val [MAE: 0.3901 | MSE: 0.1522 | R2: 0.0454 | MedAE: 0.3797] | Best MAE: 0.3901 | LR: 5.00e-04 | Pat: 0/30
Epoch 006 | Loss: 0.3529 | Val [MAE: 0.3871 | MSE: 0.1495 | R2: 0.0660 | MedAE: 0.3723] | Best MAE: 0.3871 | LR: 5.00e-04 | Pat: 0/30
Epoch 007 | Loss: 0.3511 | Val [MAE: 0.3924 | MSE: 0.1535 | R2: 0.0388 | MedAE: 0.3803] | Best MAE: 0.3871 | LR: 5.00e-04 | Pat: 1/30
Epoch 008 | Loss: 0.3490 | Val [MAE: 0.3871 | MSE: 0.1502 | R2: 0.0610 | MedAE: 0.3770] | Best MAE: 0.3871 | LR: 5.00e-04 | Pat: 0/30
Epoch 009 | Loss: 0.3483 | Val [MAE: 0.3908 | MSE: 0.1531 | R2: 0.0482 | MedAE: 0.3782] | Best MAE: 0.3871 | LR: 4.99e-04 | Pat: 1/30
Epoch 010 | Loss: 0.3467 | Val [MAE: 0.3921 | MSE: 0.1527 | R2: 0.0436 | MedAE: 0.3824] | Best MAE: 0.3871 | LR: 4.99e-04 | Pat: 2/30
Epoch 011 | Loss: 0.3449 | Val [MAE: 0.3890 | MSE: 0.1504 | R2: 0.0509 | MedAE: 0.3768] | Best MAE: 0.3871 | LR: 4.99e-04 | Pat: 3/30
Epoch 012 | Loss: 0.3423 | Val [MAE: 0.3868 | MSE: 0.1491 | R2: 0.0624 | MedAE: 0.3796] | Best MAE: 0.3868 | LR: 4.98e-04 | Pat: 0/30
Epoch 013 | Loss: 0.3393 | Val [MAE: 0.3824 | MSE: 0.1469 | R2: 0.0818 | MedAE: 0.3766] | Best MAE: 0.3824 | LR: 4.98e-04 | Pat: 0/30
Epoch 014 | Loss: 0.3370 | Val [MAE: 0.3889 | MSE: 0.1518 | R2: 0.0491 | MedAE: 0.3779] | Best MAE: 0.3824 | LR: 4.97e-04 | Pat: 1/30
Epoch 015 | Loss: 0.3356 | Val [MAE: 0.3857 | MSE: 0.1474 | R2: 0.0744 | MedAE: 0.3754] | Best MAE: 0.3824 | LR: 4.97e-04 | Pat: 2/30
Epoch 016 | Loss: 0.3344 | Val [MAE: 0.3820 | MSE: 0.1448 | R2: 0.0906 | MedAE: 0.3724] | Best MAE: 0.3820 | LR: 4.96e-04 | Pat: 0/30
Epoch 017 | Loss: 0.3338 | Val [MAE: 0.3821 | MSE: 0.1468 | R2: 0.0890 | MedAE: 0.3760] | Best MAE: 0.3820 | LR: 4.95e-04 | Pat: 1/30
Epoch 018 | Loss: 0.3321 | Val [MAE: 0.3785 | MSE: 0.1448 | R2: 0.0990 | MedAE: 0.3641] | Best MAE: 0.3785 | LR: 4.95e-04 | Pat: 0/30
Epoch 019 | Loss: 0.3298 | Val [MAE: 0.3782 | MSE: 0.1430 | R2: 0.1007 | MedAE: 0.3721] | Best MAE: 0.3782 | LR: 4.94e-04 | Pat: 0/30
Epoch 020 | Loss: 0.3267 | Val [MAE: 0.3770 | MSE: 0.1414 | R2: 0.1114 | MedAE: 0.3623] | Best MAE: 0.3770 | LR: 4.93e-04 | Pat: 0/30
Epoch 021 | Loss: 0.3248 | Val [MAE: 0.3730 | MSE: 0.1402 | R2: 0.1284 | MedAE: 0.3648] | Best MAE: 0.3730 | LR: 4.92e-04 | Pat: 0/30
Epoch 022 | Loss: 0.3229 | Val [MAE: 0.3743 | MSE: 0.1398 | R2: 0.1251 | MedAE: 0.3664] | Best MAE: 0.3730 | LR: 4.91e-04 | Pat: 1/30
Epoch 023 | Loss: 0.3214 | Val [MAE: 0.3742 | MSE: 0.1407 | R2: 0.1215 | MedAE: 0.3598] | Best MAE: 0.3730 | LR: 4.90e-04 | Pat: 2/30
Epoch 024 | Loss: 0.3205 | Val [MAE: 0.3692 | MSE: 0.1379 | R2: 0.1512 | MedAE: 0.3546] | Best MAE: 0.3692 | LR: 4.88e-04 | Pat: 0/30
Epoch 025 | Loss: 0.3171 | Val [MAE: 0.3654 | MSE: 0.1342 | R2: 0.1744 | MedAE: 0.3534] | Best MAE: 0.3654 | LR: 4.87e-04 | Pat: 0/30
Epoch 026 | Loss: 0.3144 | Val [MAE: 0.3642 | MSE: 0.1327 | R2: 0.1786 | MedAE: 0.3497] | Best MAE: 0.3642 | LR: 4.86e-04 | Pat: 0/30
